Scheme_Name,State.1,Year.1,No_of_Students_Benefited
National Means-cum-Merit Scholarship,Uttar Pradesh,2014.0,988079.0
Scholarships for Persons with Disabilities,West Bengal,2014.0,955386.0
Maulana Azad National Fellowship,Haryana,2011.0,397678.0
Kasturba Gandhi Balika Vidyalaya (KGBV),Punjab,2008.0,494890.0
Kasturba Gandhi Balika Vidyalaya (KGBV),Haryana,2012.0,109949.0
CBSE Udaan Program,Assam,2001.0,466817.0
National Scheme of Incentives to Girls for Secondary Education,Madhya Pradesh,2002.0,16200.0
CBSE Udaan Program,Assam,2010.0,430067.0
Rashtriya Madhyamik Shiksha Abhiyan (RMSA),Madhya Pradesh,2012.0,337134.0
Sarva Shiksha Abhiyan (SSA),Maharashtra,2007.0,256942.0
Samagra Shiksha,Gujarat,2017.0,293649.0
CBSE Udaan Program,Odisha,2011.0,187430.0
Sukanya Samriddhi Yojana,Chhattisgarh,2008.0,287537.0
Right to Education (RTE) Act,Haryana,2008.0,78203.0
CBSE Udaan Program,Uttar Pradesh,2006.0,224514.0
"Beti Bachao, Beti Padhao (BBBP)",Gujarat,2020.0,470879.0
Samagra Shiksha,Chhattisgarh,2017.0,106327.0
Sukanya Samriddhi Yojana,Bihar,2001.0,265507.0
CBSE Udaan Program,Chhattisgarh,2005.0,322238.0
Sarva Shiksha Abhiyan (SSA),Jharkhand,2004.0,138908.0
Right to Education (RTE) Act,Telangana,2006.0,372747.0
Kasturba Gandhi Balika Vidyalaya (KGBV),Gujarat,2018.0,423515.0
Right to Education (RTE) Act,Maharashtra,2014.0,138998.0
Right to Education (RTE) Act,Maharashtra,2001.0,308131.0
Samagra Shiksha,Bihar,2013.0,298212.0
Sukanya Samriddhi Yojana,Maharashtra,2009.0,340135.0
National Scheme of Incentives to Girls for Secondary Education,West Bengal,2018.0,139628.0
"Beti Bachao, Beti Padhao (BBBP)",Odisha,2016.0,209354.0
Right to Education (RTE) Act,Gujarat,2017.0,485304.0
Kasturba Gandhi Balika Vidyalaya (KGBV),Haryana,2017.0,187119.0
National Scheme of Incentives to Girls for Secondary Education,Madhya Pradesh,2003.0,303440.0
Right to Education (RTE) Act,Karnataka,2016.0,193822.0
Sukanya Samriddhi Yojana,Assam,2017.0,464797.0
National Scheme of Incentives to Girls for Secondary Education,Telangana,2016.0,82592.0
Sukanya Samriddhi Yojana,Chhattisgarh,2016.0,396905.0
"Beti Bachao, Beti Padhao (BBBP)",Telangana,2008.0,434013.0
Right to Education (RTE) Act,Punjab,2002.0,233198.0
Sarva Shiksha Abhiyan (SSA),Maharashtra,2000.0,424032.0
Right to Education (RTE) Act,Uttar Pradesh,2017.0,369054.0
Samagra Shiksha,Tamil Nadu,2020.0,397294.0
"Beti Bachao, Beti Padhao (BBBP)",Madhya Pradesh,2016.0,281091.0
Right to Education (RTE) Act,Assam,2018.0,494998.0
CBSE Udaan Program,Telangana,2010.0,203607.0
Rashtriya Madhyamik Shiksha Abhiyan (RMSA),Assam,2010.0,144722.0
"Beti Bachao, Beti Padhao (BBBP)",Uttar Pradesh,2011.0,229541.0
CBSE Udaan Program,Chhattisgarh,2000.0,16095.0
Sukanya Samriddhi Yojana,Haryana,2000.0,470805.0
"Beti Bachao, Beti Padhao (BBBP)",Gujarat,2023.0,295298.0
National Scheme of Incentives to Girls for Secondary Education,Jharkhand,2005.0,161866.0
CBSE Udaan Program,Uttar Pradesh,2006.0,118936.0
Kasturba Gandhi Balika Vidyalaya (KGBV),Uttar Pradesh,2004.0,105106.0
National Scheme of Incentives to Girls for Secondary Education,Tamil Nadu,2019.0,406460.0
National Scheme of Incentives to Girls for Secondary Education,Assam,2021.0,483341.0
